category_id,game_id
5,19910
2,5625
2,5572
2,519
4,7501
2,12900
2,9150
5,17089
2,6552
2,9147
2,11808
2,423
2,14008
2,3961
2,13484
7,13704
5,14877
2,13425
5,5721
5,488
7,6534
2,501
2,5105
2,3303
2,4985
2,7607
5,13865
5,389
2,6411
2,13474
2,14264
5,9758
2,6059
2,118
2,7636
5,8709
2,4502
5,11794
2,6969
5,988
2,914
2,814
5,5938
5,3569
2,14586
5,13864
7,75
2,747
2,6395
5,9962
2,14657
5,2252
5,9519
2,821
2,7075
4,4212
5,9816
2,13663
2,14116
2,2116
2,6792
2,9331
2,8248
2,8485
5,15629
2,2185
2,14405
2,12697
2,1665
5,514
2,5223
5,16380
5,8314
5,4420
7,261
2,9664
2,2468
2,1468
5,17023
5,8128
4,909
5,9711
5,9710
2,348
8,534
4,785
8,10108
8,3154
8,946
2,4428
2,1002
8,11550
2,15174
8,15986
2,902
2,497
2,2385
4,2720
2,1000
8,852
2,13061
2,5521
8,16087
8,13356
8,15985
2,5180
8,3680
2,1148
2,8569
2,5660
2,9210
2,9804
2,5222
2,421
2,90
2,12189
2,14832
8,5986
2,8567
2,16927
2,6501
2,19110
2,9071
2,13341
2,6954
2,561
2,4658
2,6121
2,29
2,395
2,5603
5,4255
2,14443
2,2256
2,13512
2,77
2,7362
2,10647
2,8735
2,6941
2,6550
2,5890
4,10
5,13426
3,3120
7,969
2,78
2,5963
2,2014
2,450
2,238
2,4365
2,591
2,4357
8,10793
2,7241
5,682
2,4681
7,523
2,11169
4,11763
2,5712
2,13424
8,7212
2,13486
2,174
8,10833
8,9909
2,440
2,16070
8,816
3,9918
2,565
2,6353
2,9757
2,883
2,4362
8,2528
2,2502
2,6813
2,4701
5,3516
2,3954
8,932
2,812
2,11586
2,11849
2,7035
2,116
2,2501
2,2542
2,13332
2,17447
2,9830
2,3163
2,17276
2,19592
8,414
2,4438
2,599
5,9737
2,11939
2,175
4,4381
8,10349
2,817
8,3508
2,230
2,876
2,9814
5,178
2,448
2,14977
9,226
2,5588
2,221
5,2443
8,2248
3,577
3,2991
2,4065
2,17524
2,396
5,135
2,13259
2,375
2,809
2,258
2,566
2,553
7,5516
2,9509
2,3640
2,14596
7,5352
8,10012
2,83
2,12243
9,977
2,14406
2,181
2,9992
2,5657
2,91
8,1487
7,9772
2,4281
2,5311
2,14064
2,416
2,9852
2,581
2,5481
8,10039
2,8947
2,6891
8,7929
2,4374
2,4179
2,6841
2,583
8,6676
2,10757
2,5270
5,14060
8,5323
2,542
2,10619
2,3779
2,7707
2,16914
5,15778
5,1084
8,8595
2,2233
8,177
7,14
5,378
2,841
2,9742
7,968
8,9790
7,15064
5,9789
2,119
5,3237
2,2504
2,15776
2,28
2,13056
4,436
8,15210
8,5919
8,186
5,535
7,6131
5,5978
2,8809
2,93
2,5736
2,10810
2,924
2,2260
2,6444
8,8710
5,14030
5,17928
2,1324
5,81
2,5331
5,13386
5,10759
8,513
2,17567
5,5972
5,11108
5,2768
2,5243
2,15522
2,2214
2,7049
7,10362
5,369
5,359
8,15001
7,7523
3,733
2,18328
7,2500
2,15886
2,1146
2,34
5,8100
5,9868
7,5157
9,887
2,442
4,784
2,17255
8,5005
8,7728
5,8223
5,182
2,16124
7,9089
2,15365
8,4171
2,10049
5,9735
8,16946
2,505
2,827
2,3783
2,2093
3,2990
2,983
2,13258
2,2276
5,12169
2,9321
5,19722
9,179
5,9319
5,5679
3,2141
2,5892
5,10640
2,9278
2,5518
9,12037
2,10656
8,782
2,9552
8,589
9,2564
9,183
2,15119
5,6557
2,528
5,533
2,481
5,2061
8,1066
5,14626
5,76
4,15832
5,4119
5,4650
5,3979
5,9107
2,873
2,14375
2,211
7,223
2,5670
2,13841
2,9307
2,575
2,9866
2,9384
2,392
2,4674
8,764
2,121
5,6326
2,11732
2,9865
2,14667
5,1478
8,2321
2,5845
7,850
5,960
2,13343
2,456
5,12
5,8810
2,13144
5,515
2,134
2,227
2,1251
2,425
5,13629
2,7881
5,518
2,14526
5,8432
5,5420
8,3630
5,559
5,1422
2,439
3,5418
5,6609
2,12079
7,9074
2,5735
7,92
2,2534
2,1067
7,15947
2,972
5,5710
5,3926
2,11492
2,15939
8,11647
7,4213
5,394
7,2148
8,1247
2,2202
2,7316
2,11461
2,18979
2,4367
9,5296
8,1049
2,2119
5,3479
5,3517
7,7091
5,7261
2,8966
5,16237
5,1207
5,6282
5,2243
5,7011
2,3634
5,7123
8,8711
2,12176
2,14346
5,7376
5,430
2,9620
2,3739
2,4662
2,16639
5,11722
7,7484
5,7356
5,455
7,11020
2,1415
2,11811
2,9212
2,10861
2,17373
5,1688
2,6800
2,20444
5,5661
5,437
2,193
2,16753
7,2510
2,9372
2,479
7,1417
5,9311
9,584
9,2184
2,17004
5,6498
2,5596
5,2538
8,6798
2,5201
8,9665
2,188
5,1367
2,13215
2,15670
3,548
2,494
3,547
2,13550
5,3565
5,7415
5,1135
5,8373
7,13018
5,2559
8,836
5,413
5,4854
5,2306
2,11869
2,14979
2,2023
2,189
2,8918
5,10698
5,1009
7,3051
5,520
2,7071
5,449
2,4260
2,122
5,9037
3,579
2,6337
2,2310
5,14908
2,543
2,15960
2,10764
5,15356
2,16455
3,2992
8,14412
3,11
2,11776
2,14532
2,3585
8,4168
2,770
2,11715
5,4164
2,9641
7,13151
5,13807
8,2098
5,8472
2,15520
2,5189
2,14527
2,17628
2,574
8,14488
2,9045
7,475
5,17915
5,5984
8,5893
2,12224
2,17195
5,19937
2,14422
5,13682
2,7541
5,4331
5,2314
9,391
5,666
5,15549
7,844
2,17007
2,928
2,13239
2,12091
5,6082
5,237
2,13253
5,284
5,11304
5,13574
3,563
2,16050
2,843
8,11947
2,11924
2,1014
2,12714
5,9510
2,939
5,4874
2,2118
5,9733
5,17231
5,16048
5,11141
2,14105
2,12896
5,18780
2,18144
2,4148
2,4860
5,428
8,12114
2,11881
8,6558
5,7825
2,6496
2,655
7,15637
2,1137
2,9513
5,14776
3,558
5,11010
7,16518
5,18905
2,6994
2,11874
5,285
9,1697
5,13870
7,3781
8,1040
8,934
2,444
2,6642
2,718
3,6694
5,6278
5,15918
5,9692
8,313
5,9225
2,8570
9,2183
2,4663
7,3928
2,13696
5,5476
2,5957
5,17916
8,1527
2,14791
2,15508
2,9050
5,344
2,921
2,14678
5,16327
5,11595
2,115
4,6028
7,1793
2,16424
2,9844
8,8860
5,4434
2,13576
7,3726
2,2144
2,1277
2,5355
2,953
2,7992
5,3974
5,14627
2,4174
5,5172
2,127
2,16065
2,544
8,1125
5,2080
8,13660
8,948
2,1297
2,7181
5,15804
9,4089
2,15932
2,15455
8,17051
2,10206
8,2101
2,13515
5,254
7,6716
7,508
2,1128
9,1639
2,10541
2,512
7,622
7,8117
2,5623
7,15017
2,13664
2,10826
2,5272
3,2217
5,10673
2,6148
7,12352
2,3244
2,930
7,12416
5,16062
2,14589
5,6699
2,95
5,7955
2,14117
7,7128
2,10200
5,1465
2,9324
5,12315
5,14664
2,11491
2,422
2,11994
5,434
5,12205
3,1303
2,1025
5,4273
5,2149
5,17564
2,15930
7,5273
5,397
4,243
2,16892
2,2451
5,207
3,276
2,9834
5,1724
7,360
7,4254
2,5846
8,16541
7,4687
5,4210
7,3250
2,86
2,157
8,10678
5,3652
7,4573
7,5653
2,17110
2,4366
5,5195
2,2369
2,7477
5,9455
5,16412
5,4363
7,11508
8,14597
5,9167
8,390
5,1262
2,569
5,7637
7,507
5,9700
8,14481
3,3511
2,2221
7,3423
5,6838
2,1036
3,1413
2,9759
2,11719
2,11838
9,7015
5,10916
2,971
2,885
5,16179
2,11650
5,15852
2,128
7,9177
8,12800
2,2007
8,14397
2,15644
5,9811
2,14545
5,13971
5,1902
5,16354
5,14225
9,979
7,4549
8,6117
2,9029
9,3534
5,14424
2,17009
5,10889
2,703
2,9745
5,15357
5,2059
7,2281
2,11331
5,11743
2,1300
5,1485
2,13645
2,2017
3,550
2,13218
2,10913
2,15259
2,15025
5,9706
7,4271
5,8171
7,5686
5,5581
2,1178
5,9067
5,1037
5,1141
5,149
2,13709
5,8750
5,5665
8,66
2,7167
2,824
2,8806
5,13642
5,2568
5,2530
5,3264
2,431
8,5990
8,5996
3,1340
5,3007
5,11580
5,26
7,3064
8,6745
5,6977
5,6761
5,7255
4,15299
5,862
3,10688
5,6773
5,376
2,320
2,13220
7,7698
2,12223
2,14622
6,1031
2,9659
2,15596
2,8585
2,13618
5,7082
5,2147
2,18364
2,1507
5,5767
2,4760
5,4447
2,14523
2,571
8,85
2,6546
7,3519
5,2574
5,7127
2,10203
5,2139
2,973
8,299
2,1180
4,8856
8,986
5,12080
5,10229
2,15762
2,11160
5,2543
5,7489
9,1484
2,380
8,11774
5,3028
5,16002
2,531
2,19463
4,5140
2,4113
5,1673
5,2063
2,17240
5,7050
7,9359
5,15555
8,14154
2,13021
5,1175
2,465
2,13867
2,14072
2,10660
2,19341
2,965
2,7131
5,2241
8,912
5,3411
5,11460
2,4382
2,20760
2,4963
5,7155
2,6731
2,7708
2,7837
7,12712
2,530
2,3590
5,12989
3,266
2,16932
5,783
2,17563
5,11876
2,368
5,5040
8,10391
2,7554
2,13062
5,10343
2,936
2,12170
2,2300
5,205
2,6837
2,20042
2,11323
2,14669
2,15842
8,14530
5,4380
2,585
3,3675
2,1114
5,1435
5,6776
5,256
5,1476
5,463
2,891
2,16925
2,9304
5,18613
8,4791
5,10964
5,13265
7,12551
2,758
2,7866
5,2555
5,82
5,6522
2,382
2,18565
2,8916
2,4593
7,4684
2,16975
3,2175
7,3485
5,11210
8,8970
2,4688
5,14673
2,12584
5,385
7,3530
