game_id,genre_id
462,27
14349,89
10061,96
174,114
5670,2
10916,2
3106,2
14776,67
10673,114
2256,102
14832,114
7241,33
14977,33
16052,12
8809,2
533,96
19124,114
15356,96
14422,2
284,96
17231,89
5487,89
9225,112
16065,67
2522,96
15852,96
1485,96
3264,89
376,96
12080,58
13021,96
16206,17
7422,114
17875,96
578,96
17372,96
11812,96
7375,96
7136,96
3179,89
20497,96
5585,96
9317,96
9710,31
5519,96
3548,96
7607,96
9608,96
14540,96
6418,96
717,96
4791,31
824,7
4543,60
778,96
703,96
17004,7
4438,96
416,96
2252,96
588,96
1014,7
15804,7
11237,96
7490,96
9733,96
13578,96
1017,7
848,7
2119,40
77,7
9830,96
18364,7
162,60
13645,60
517,96
2017,96
13304,7
119,96
4674,96
3512,7
9372,96
14117,7
14157,7
5202,7
11194,96
9074,101
7634,101
3423,101
12712,101
14106,101
9049,101
19283,101
10362,101
14676,101
535,96
15273,96
8735,6
440,6
6353,6
4065,6
2093,6
15119,89
76,6
9307,32
575,26
7702,26
5189,114
928,6
12714,44
6731,89
4369,26
11884,26
878,7
13671,44
2075,89
7398,71
7254,96
18918,6
19335,96
1002,40
2185,21
8569,44
8567,44
11719,12
13550,44
6841,78
14622,44
13220,25
4701,102
506,71
2502,44
7707,96
5243,6
7881,6
15918,25
10541,102
936,6
11465,89
19292,25
1252,6
10251,89
138,71
2717,6
9309,96
16518,40
518,96
8373,96
627,102
2568,9
9278,40
5954,96
3411,40
16179,102
1672,96
902,60
3783,96
6444,96
11193,96
7218,96
15365,96
17864,96
1298,96
6319,96
875,96
10661,96
2200,96
7737,99
760,89
12697,96
3508,40
509,96
2033,40
9790,31
5515,96
513,31
10257,96
6558,40
3485,96
2087,40
1028,40
15001,96
17051,99
589,82
12114,82
951,82
5321,40
15968,96
5845,96
9909,31
14412,31
7005,82
20166,101
13341,31
515,31
10277,31
14443,12
992,25
14589,71
552,67
1052,25
17276,89
11939,89
1146,32
238,25
175,89
2214,25
8223,96
227,67
12176,25
5957,96
14791,78
1128,25
885,25
16975,25
8078,25
1992,25
2310,110
127,110
7131,44
505,96
380,82
2564,86
16050,30
1274,86
18277,96
214,89
125,26
3516,96
15883,96
11492,96
770,110
12574,32
3397,110
15118,25
6550,44
817,110
90,25
561,26
8947,44
4179,44
4650,67
392,44
8570,102
15508,26
2257,67
2451,25
15287,89
553,71
181,71
6800,71
12189,44
6121,44
13512,44
450,44
5712,44
883,96
11849,111
3640,44
4281,44
6891,2
583,25
542,67
16914,26
2504,79
10810,25
924,44
15522,2
13258,89
5151,67
873,7
211,96
121,102
5735,44
394,96
2588,96
193,89
418,109
2538,110
188,44
15670,26
14979,25
189,25
8918,44
16455,71
574,44
3342,96
11874,44
5272,44
13228,26
11491,89
9834,99
4366,25
14586,30
11331,44
2555,96
9168,110
3765,96
7867,7
5743,96
4699,44
2361,44
2037,96
4857,44
148,44
4576,44
5720,44
1177,44
10564,40
2533,96
16117,44
9981,26
11927,25
10463,25
814,32
6082,89
785,40
14030,82
14673,82
4382,82
243,96
313,99
1468,96
13424,32
13426,96
9321,89
843,89
14105,96
9700,89
7253,96
13486,50
17524,50
2468,82
9210,32
5890,82
5986,82
4985,96
177,40
4502,82
508,101
6059,99
9657,82
4963,40
1247,82
7075,82
225,82
14527,32
17447,44
15259,89
1045,44
16070,45
14008,96
9789,96
14877,25
16579,96
13215,89
15743,44
4174,110
2149,102
9759,96
13216,31
4658,6
5603,6
7362,28
6941,6
3120,95
17089,109
682,89
9757,7
4362,96
11808,20
9737,90
178,18
5588,6
2443,112
577,95
2991,95
375,90
12243,102
14406,102
10259,93
5657,6
4680,102
10619,90
3764,6
84,78
15064,101
3237,96
28,89
15210,102
14167,96
5331,28
4370,115
17567,6
5972,96
11108,89
2768,96
13425,55
9868,25
442,90
17255,25
7728,105
182,18
2990,95
12169,96
9319,89
11434,28
10640,96
481,96
14626,7
5721,6
9866,96
6326,96
9865,7
14667,2
488,31
960,48
13343,28
12,18
1251,6
8432,96
5420,95
473,28
1067,6
4180,33
877,115
2040,71
7316,102
18979,44
4367,7
3517,96
7261,96
8966,90
6282,96
9143,2
3634,102
11811,32
17373,7
437,96
1367,25
548,95
547,95
1682,96
2559,40
4854,96
2306,96
11869,101
3092,6
1009,7
1984,96
449,96
4260,90
9037,25
579,95
6337,96
15960,44
2992,95
14532,102
9641,56
15520,77
17628,26
9045,96
17915,104
5984,115
17195,95
4331,93
391,19
15549,31
13239,7
12091,104
13253,109
9758,59
563,95
9510,96
2020,115
2118,96
151,68
18780,96
18144,96
428,26
11881,89
7825,96
9513,22
558,95
18905,111
6994,96
13571,102
444,96
9692,110
17916,96
1023,115
344,93
12694,25
9844,25
5355,90
11637,6
2080,60
6969,6
1297,25
7181,28
3244,6
12416,101
16062,115
6699,95
7955,89
11994,44
1303,95
4273,96
17564,115
276,95
360,17
5846,6
3250,40
1219,25
17110,115
2369,6
9455,115
16412,115
569,82
6838,96
971,102
9177,101
9335,95
15644,2
9811,7
1902,112
16354,115
9029,115
14424,102
9745,22
2059,74
13864,93
2281,89
11743,96
13628,96
550,95
15025,25
5581,96
7167,96
2530,89
3007,89
11580,96
6745,96
6977,96
6761,96
10688,95
7698,112
12223,45
8585,110
7082,96
2147,96
1507,105
5767,68
14523,45
6546,6
11160,26
7489,115
16002,68
1673,96
7050,112
14154,90
9962,27
11460,96
20760,89
7708,18
530,115
3590,96
266,95
783,64
11876,99
13062,96
10343,71
12170,104
205,95
6837,96
14669,44
15842,45
4380,115
3675,95
1114,25
9304,22
10964,31
13265,95
7866,96
6522,96
2175,95
195,95
11210,96
4688,22
12584,90
3530,36
10493,71
15908,22
6734,95
9858,53
6840,95
13531,44
6991,115
5889,54
2277,26
16141,112
3301,2
6717,96
12171,93
7173,26
7256,115
2520,96
6364,28
14936,115
2582,9
2274,59
9396,2
2165,95
1877,36
4567,95
10461,68
4321,63
9792,25
9583,96
2776,93
20276,25
1515,96
6598,96
9257,96
15892,104
3197,113
5073,96
551,95
11767,59
8961,90
5016,2
633,96
1394,90
9313,33
410,6
14618,26
1721,101
457,96
4178,32
8146,95
16084,101
3263,95
9208,6
291,96
10115,95
15105,47
16517,96
14675,115
16898,45
4068,89
620,95
12099,96
6341,112
2298,30
15125,104
9499,96
14388,96
12417,96
11750,25
780,67
11877,96
16125,115
4867,40
16937,96
14368,102
8248,115
13375,115
6122,22
10513,18
2527,95
19569,96
4489,96
17168,45
17968,101
4270,96
2354,95
4851,90
7327,25
5361,104
15687,115
372,112
459,96
12148,96
13136,25
246,18
3326,96
7575,95
3196,24
10238,96
3001,89
4872,96
17925,96
9731,32
18734,96
829,90
4642,95
4583,89
17242,7
6655,99
1058,48
398,110
2508,79
6332,20
12164,102
17673,26
17845,67
1745,48
17448,115
341,101
5015,96
19290,90
8172,89
3785,96
9009,55
4067,25
15591,101
11200,2
18966,95
1081,25
2220,26
8999,95
18625,93
17931,96
3232,87
3471,115
11520,112
1240,102
472,96
9602,96
3032,96
11101,7
2463,93
13436,96
7242,96
353,112
2355,95
13834,96
9943,89
1733,18
10551,96
12960,45
9277,102
498,96
1069,25
8745,102
3828,96
17248,89
11624,112
15985,87
6529,26
14078,89
3831,104
18267,101
3612,26
18860,96
16072,96
14824,54
4420,96
338,24
16893,45
17940,96
18452,115
10233,7
16899,115
7089,89
16578,96
11694,25
16088,101
13214,96
16973,101
11625,112
16053,59
17173,45
11078,6
6672,95
2446,26
9820,104
638,96
14063,96
4895,96
11088,89
13751,89
10983,71
9382,89
9685,96
11703,115
1964,60
11620,115
9783,36
9704,115
3522,96
3416,7
17669,112
14100,26
1754,26
5211,90
6863,95
61,96
11975,112
15336,96
13229,114
14253,99
8781,93
14507,102
2519,115
9831,6
12116,41
4133,53
3682,96
19475,63
19910,96
1039,67
16058,22
8583,53
10349,64
15629,70
6028,84
15629,59
10349,70
5006,70
914,72
9147,72
8583,93
7212,104
414,104
6028,113
523,113
15637,113
16615,113
4062,113
12224,113
5653,113
4791,113
716,113
13558,113
15832,97
18364,95
6028,90
523,90
15637,90
16615,90
5005,87
8860,87
6131,84
2119,84
15629,74
534,72
785,72
4168,72
9147,70
5006,68
10567,68
1031,59
8583,55
1049,50
6444,48
914,41
14488,41
10349,36
7212,36
414,36
848,36
14678,22
9830,2
14678,6
9814,6
1049,9
8569,18
4791,22
6444,26
1289,28
5005,36
8860,36
10793,36
764,36
1040,36
948,36
2101,36
11650,36
11774,36
832,36
14171,36
716,37
6676,41
13578,41
6792,41
12174,41
7212,45
414,45
3783,48
15832,50
3480,54
4051,57
5282,59
14488,64
2528,64
12800,64
534,67
785,68
4168,68
1031,68
876,68
939,68
914,70
9210,70
6501,70
177,70
12472,70
13515,70
5986,72
812,72
3154,72
5296,72
814,72
2385,72
1000,72
16087,72
1148,72
6131,74
1417,74
3485,74
9308,74
10786,74
9147,84
11719,84
6558,87
48,87
4062,90
13558,90
18364,90
10567,90
10349,90
258,90
186,90
5518,90
910,90
12224,93
5653,93
523,93
15637,93
16615,93
5006,93
92,93
2148,93
13018,93
1021,93
6028,97
7501,97
405,100
8583,101
15629,109
848,110
11782,110
2119,113
7523,113
9089,113
2510,113
2087,113
5287,113
4149,113
469,113
15,113
6676,113
9147,113
11719,113
1810,113
7072,113
5356,113
8904,113
1417,112
15629,112
3519,112
12800,111
10567,111
479,111
5223,111
9830,110
6444,105
12472,104
6550,104
10229,104
10257,104
8485,104
13643,104
5287,102
92,101
13018,101
5194,101
11782,99
469,97
436,97
15299,97
13435,95
3085,95
16514,95
4066,95
716,93
876,93
939,93
6131,93
3485,93
9308,93
10786,93
6558,93
10349,93
186,93
910,93
7523,93
9089,93
2510,93
2087,93
5516,93
5352,93
2500,93
9278,93
836,93
475,93
6716,93
4549,93
5990,93
467,93
935,93
1028,93
4443,93
7598,93
9638,93
5954,93
5583,93
5005,90
8860,90
11774,90
9167,90
703,90
249,90
845,90
15968,87
760,87
1289,84
177,84
812,84
5296,84
2385,84
3051,84
4271,84
874,84
715,84
1468,84
1049,82
1031,81
5282,74
48,74
4062,74
13558,74
4149,74
4573,74
17202,74
9309,74
8159,74
10102,74
599,72
887,72
14346,72
1002,72
11550,72
821,72
5180,72
405,71
814,70
809,70
2233,70
313,70
10962,70
5986,68
16087,68
15,68
4171,68
13870,68
5158,68
1623,68
9814,67
932,67
3496,67
431,67
4760,67
13822,67
13341,64
1487,64
14589,64
11508,64
12115,64
3480,63
4447,63
12896,59
1651,59
12352,59
16541,59
3028,59
1662,59
6431,59
11529,59
2145,59
7811,59
4101,59
15928,59
2101,58
5518,58
848,58
15947,56
6117,56
371,56
5653,55
523,55
15637,55
16615,55
5006,55
7127,54
10558,54
14463,54
10793,50
948,50
11650,50
14171,50
4051,50
2528,50
534,50
1021,50
6028,50
7501,50
16748,50
11193,48
7218,48
12224,45
8583,45
456,41
16048,41
1527,41
9816,41
12697,41
11114,41
6792,36
12174,36
14488,36
785,36
4168,36
914,36
9210,36
3154,36
5625,36
519,36
12900,36
5890,36
816,36
10012,36
13704,36
16946,36
3630,36
4502,36
14481,36
986,36
7554,36
6997,36
3261,36
14405,36
4657,36
13370,36
909,36
14678,33
2148,33
1000,28
83,28
3719,28
1300,28
2667,28
764,26
3783,26
14908,26
77,22
13550,22
13578,19
16925,18
1040,9
832,9
7212,9
414,9
15832,9
8569,6
4791,6
6501,6
13515,6
1148,6
18364,6
258,6
2119,6
5222,6
94,6
11461,6
14246,6
4663,6
6628,6
1747,2
812,113
5296,113
2385,113
1468,113
12115,113
1651,113
456,113
12697,113
1300,113
2243,113
11333,113
1126,113
855,113
15765,113
17202,112
12896,112
60,112
405,111
2667,111
439,111
4212,111
12800,110
5223,110
431,110
4760,110
10833,110
5679,109
6131,105
6716,105
7811,105
5653,105
3783,105
6395,105
16514,104
4066,104
16541,104
16048,104
5323,104
782,104
4382,104
9525,104
19938,104
13866,104
8416,104
8314,104
14842,104
14850,104
5356,102
5194,102
910,102
1049,102
13341,102
1487,102
1021,102
15832,102
4791,102
13660,102
5627,102
9711,102
7072,101
1417,101
3485,101
7523,101
9089,101
2510,101
2087,101
2500,101
4549,101
467,101
1028,101
5583,101
4062,101
13558,101
4149,101
523,101
15637,101
16615,101
2148,101
1747,101
4434,101
1289,100
515,99
785,97
3261,97
10,97
11763,97
3168,97
733,95
2061,95
3511,95
2509,95
9246,95
4914,95
7487,95
2072,95
14349,95
162,95
8904,93
10257,93
13643,93
249,93
177,93
3051,93
4271,93
4573,93
8159,93
10102,93
7127,93
10558,93
13704,93
16946,93
4502,93
9772,93
423,93
8595,93
3961,93
9136,93
7091,93
2023,93
8472,93
7128,93
5938,93
9359,93
14657,93
5584,93
11875,93
6706,93
5286,93
6160,93
14873,93
5266,93
7737,93
6550,90
8485,90
1623,90
9816,90
6792,90
12174,90
13370,90
3719,90
425,90
20444,90
122,90
14264,90
9733,90
921,90
404,90
13645,90
9067,90
19341,90
7837,90
588,90
13863,90
962,90
2140,90
7952,90
517,90
766,90
5197,90
13018,89
1017,89
3508,87
589,87
12114,87
951,87
11737,87
9657,87
887,84
1002,84
814,84
1000,84
14443,84
5963,84
13486,84
17524,84
13663,84
1810,82
6444,82
11774,82
5518,82
848,82
10793,82
948,82
4051,82
534,82
6028,82
5625,82
519,82
12900,82
816,82
3630,82
14481,82
986,82
6997,82
14405,82
764,82
1040,82
832,82
7212,82
414,82
6552,82
2248,82
8810,82
6798,82
3750,82
5140,82
7155,82
9331,82
354,82
3205,82
1123,82
5282,81
874,79
8569,79
413,77
10229,74
15968,74
760,74
13870,74
5158,74
12352,74
11529,74
5273,74
1435,74
2079,74
5515,74
2073,74
261,74
9906,74
13424,72
10108,72
2184,72
